央视,#genre#
CCTV1,http://www.waverjiang.fun:4088/rtp/239.11.0.65:5140
CCTV2,http://www.waverjiang.fun:4088/rtp/239.11.0.108:5140
CCTV3,http://www.waverjiang.fun:4088/rtp/239.11.0.101:5140
CCTV4,http://www.waverjiang.fun:4088/rtp/239.11.0.109:5140
CCTV5,http://www.waverjiang.fun:4088/rtp/239.11.0.100:5140
CCTV5+,http://www.waverjiang.fun:4088/rtp/239.11.0.241:5140
CCTV6,http://www.waverjiang.fun:4088/rtp/239.11.0.102:5140
CCTV7,http://www.waverjiang.fun:4088/rtp/239.11.0.110:5140
CCTV8,http://www.waverjiang.fun:4088/rtp/239.11.0.103:5140
CCTV9,http://www.waverjiang.fun:4088/rtp/239.11.0.111:5140
CCTV10,http://www.waverjiang.fun:4088/rtp/239.11.0.112:5140
CCTV11,http://www.waverjiang.fun:4088/rtp/239.11.0.22:5140
CCTV12,http://www.waverjiang.fun:4088/rtp/239.11.0.113:5140
CCTV13,http://www.waverjiang.fun:4088/rtp/239.11.0.24:5140
CCTV14,http://www.waverjiang.fun:4088/rtp/239.11.0.114:5140
CCTV15,http://www.waverjiang.fun:4088/rtp/239.11.0.26:5140
CCTV17,http://www.waverjiang.fun:4088/rtp/239.11.0.107:5140

CCTV1,http://tom028.top:55555/rtp/239.93.0.184:5140
CCTV2,http://tom028.top:55555/rtp/239.93.1.23:6000
CCTV3,http://tom028.top:55555/rtp/239.93.1.11:2223
CCTV4,http://tom028.top:55555/rtp/239.93.1.105:5140
CCTV5,http://tom028.top:55555/rtp/239.93.42.37:5140
CCTV5+,http://tom028.top:55555/rtp/239.93.1.36:8004
CCTV6,http://tom028.top:55555/rtp/239.93.1.13:2226
CCTV7,http://tom028.top:55555/rtp/239.93.1.67:5140
CCTV8,http://tom028.top:55555/rtp/239.93.42.39:5140
CCTV9,http://tom028.top:55555/rtp/239.93.1.24:5140
CCTV10,http://tom028.top:55555/rtp/239.93.1.28:5140
CCTV11,http://tom028.top:55555/rtp/239.93.0.102:5140
CCTV12,http://tom028.top:55555/rtp/239.93.1.30:8124
CCTV13,http://tom028.top:55555/rtp/239.93.0.66:5140
CCTV14,http://tom028.top:55555/rtp/239.93.1.29:6000
CCTV15,http://tom028.top:55555/rtp/239.93.0.103:5140
CCTV17,http://tom028.top:55555/rtp/239.93.0.92:5140

CCTV1,http://home8.youyisizhekou.com:8888/rtp/233.50.201.118:5140
CCTV2,http://home8.youyisizhekou.com:8888/rtp/233.50.201.119:5140
CCTV3,http://home8.youyisizhekou.com:8888/rtp/233.50.201.196:5140
CCTV5,http://home8.youyisizhekou.com:8888/rtp/233.50.201.197:5140
